Email Address,Email Invalid?,Email Status,Mobile,Mobile Invalid?,SMS Status,Added Date/Time,Device type,Device OS,Device browser,firstname,lastname,color,sport
anyperson71@pure360.co.uk,N,opted in,07791 000071,N,opted in,02/07/2012 12:00,desktopBrowser,Windows NT,Outlook 2007,any71,person71,green,rugby
anyperson72@pure360.co.uk,N,opted in,07791 000072,N,opted in,03/07/2012 12:00,desktopBrowser,Windows 7,Lotus Notes 6,any72,person72,red,football
anyperson73@pure360.co.uk,N,opted in,07791 000073,N,opted in,04/07/2012 12:00,desktopBrowser,Windows NT,Lotus Notes 6,any73,person73,red,cricket
anyperson74@pure360.co.uk,N,opted in,07791 000074,N,opted in,06/08/2012 12:00,smartphone,iPhone OS,Safari,any74,person74,"green,blue",football
anyperson75@pure360.co.uk,N,opted in,07791 000075,N,opted in,07/08/2012 12:00,smartphone,Android,Android Webkit,any75,person75,green,rugby
anyperson76@pure360.co.uk,N,opted in,07791 000076,N,opted in,08/08/2012 12:00,smartphone,Android,Android Webkit,any76,person76,blue,cricket
anyperson77@pure360.co.uk,N,opted in,07791 000077,N,opted in,09/05/2012 12:00,desktopBrowser,Windows 7,Outlook 2010,any77,person77,red,rugby
anyperson78@pure360.co.uk,N,opted in,07791 000078,N,opted in,10/05/2012 12:00,smartphone,iPhone OS,Safari,any78,person78,"green,blue","football,cricket"
anyperson79@pure360.co.uk,N,opted in,07791 000079,N,opted in,11/05/2012 12:00,smartphone,iPhone OS,Safari,any79,person79,blue,cricket
anyperson80@pure360.co.uk,N,opted in,07791 000080,N,opted in,05/07/2012 12:00,smartphone,iPhone OS,Safari,any80,person80,blue,"cricket,rugby"
anyperson81@pure360.co.uk,N,opted in,07791 000081,N,opted in,06/07/2012 12:00,smartphone,Android,Android Webkit,any81,person81,red,football
anyperson82@pure360.co.uk,N,opted in,07791 000082,N,opted in,07/07/2012 12:00,smartphone,Android,Android Webkit,any82,person82,"green,blue",football
anyperson83@pure360.co.uk,N,opted in,07791 000083,N,opted in,08/07/2012 12:00,smartphone,iPhone OS,Safari,any83,person83,blue,"cricket,football"
anyperson84@pure360.co.uk,N,opted out,07791 000084,N,opted in,16/05/2012 12:00,smartphone,RIM OS,BlackBerry,any84,person84,"blue,red","rugby,football"
anyperson85@pure360.co.uk,N,opted in,07791 000085,N,opted in,17/05/2012 12:00,smartphone,iPhone OS,Safari,any85,person85,green,rugby
anyperson86@pure360.co.uk,N,opted in,07791 000086,N,opted in,18/05/2012 12:00,desktopBrowser,Windows XP,Outlook 2010,any86,person86,green,football
anyperson87@pure360.co.uk,N,opted in,07791 000087,N,opted in,19/05/2012 12:00,tablet,Apple,iPad,any87,person87,"blue,green",cricket
anyperson88@pure360.co.uk,N,opted in,07791 000088,N,opted in,27/07/2012 12:00,smartphone,Symbian OS,Nokia BrowserNG,any88,person88,"red,green",football
anyperson89@pure360.co.uk,N,opted in,07791 000089,N,opted in,28/07/2012 12:00,desktopBrowser,Windows 7,Outlook 2010,any89,person89,red,rugby
anyperson90@pure360.co.uk,N,opted in,07791 000090,N,opted in,12/05/2012 12:00,desktopBrowser,Windows 7,Outlook 2010,any90,person90,green,rugby
anyperson91@pure360.co.uk,N,opted in,07791 000091,N,opted in,12/06/2012 12:00,smartphone,RIM OS,BlackBerry,any91,person91,"green,blue","football,cricket"
anyperson92@pure360.co.uk,N,opted in,07791 000092,N,opted in,13/06/2012 12:00,desktopBrowser,Windows XP,Outlook 2010,any92,person92,blue,cricket
anyperson93@pure360.co.uk,N,opted in,07791 000093,N,opted in,30/06/2012 12:00,desktopBrowser,Windows NT,Outlook 2010,any93,person93,blue,cricket
anyperson94@pure360.co.uk,N,opted in,07791 000094,N,opted in,01/07/2012 12:00,desktopBrowser,Windows 7,Outlook 2010,any94,person94,"blue,red","cricket,rugby"
anyperson95@pure360.co.uk,N,opted in,07791 000095,N,opted in,01/07/2012 12:00,smartphone,Symbian OS,Nokia BrowserNG,any95,person95,green,football
anyperson96@pure360.co.uk,N,opted in,07791 000096,N,opted in,02/07/2012 12:00,desktopBrowser,Windows 7,Outlook 2010,any96,person96,green,football
anyperson97@pure360.co.uk,N,opted in,07791 000097,N,opted in,03/07/2012 12:00,desktopBrowser,Windows 7,Windows Live Mail,any97,person97,"blue,green","cricket,football"
anyperson98@pure360.co.uk,N,opted in,07791 000098,N,opted in,04/07/2012 12:00,smartphone,Android,Android Webkit,any98,person98,"red,green","rugby,football"
anyperson99@pure360.co.uk,N,opted in,07791 000099,N,opted in,06/08/2012 12:00,smartphone,Android,Android Webkit,any99,person99,blue,rugby
anyperson100@pure360.co.uk,N,opted out,07791 000100,N,opted in,07/08/2012 12:00,desktopBrowser,Windows 7,Windows Live Mail,any100,person100,"blue,red",football
anyperson101@pure360.co.uk,N,opted in,07791 000101,N,opted in,08/08/2012 12:00,smartphone,Symbian OS,Nokia BrowserNG,any101,person101,green,cricket
